64# Number of electrodes
# x z
0	0
5	0
10	0
15	0
20	0
25	0
30	0
35	0
40	0
45	0
50	0
55	0
60	0
65	0
70	0
75	0
80	0
85	0
90	0
95	0
100	0
105	0
110	0
115	0
120	0
125	0
130	0
135	0
140	0
145	0
150	0
155	0
160	0
165	0
170	0
175	0
180	0
185	0
190	0
195	0
200	0
205	0
210	0
215	0
220	0
225	0
230	0
235	0
240	0
245	0
250	0
255	0
260	0
265	0
270	0
275	0
280	0
285	0
290	0
295	0
300	0
305	0
310	0
315	0
1223# Number of data
#a	b	m	n	rhoa	err
  23	  29	  25	  27	22.54	0.032788
  21	  31	  25	  27	29.64	0.0363598
  19	  33	  25	  27	34.91	0.0407986
  17	  35	  25	  27	41.54	0.0451247
  25	  28	  26	  27	18.87	0.0316648
  24	  29	  26	  27	21.38	0.0344082
  23	  30	  26	  27	24.25	0.0377736
  22	  31	  26	  27	28.63	0.0409744
   3	  39	  15	  27	73.49	0.0351299
   5	  38	  16	  27	68.35	0.0350556
   7	  37	  17	  27	62.42	0.0350326
   9	  36	  18	  27	56.71	0.0349853
  11	  35	  19	  27	50.55	0.0349723
  13	  34	  20	  27	44.64	0.0349267
   6	  41	  20	  27	70.18	0.0394007
  14	  35	  21	  28	45.34	0.0348504
   7	  42	  21	  28	70.23	0.039394
  16	  34	  22	  28	41.11	0.034585
  10	  40	  22	  28	62.09	0.039108
  18	  33	  23	  28	36.10	0.0343518
  13	  38	  23	  28	54.82	0.0385965
   8	  43	  23	  28	70.79	0.0433132
  20	  32	  24	  28	31.82	0.0339497
  16	  36	  24	  28	46.05	0.0381862
  12	  40	  24	  28	58.07	0.042983
   8	  44	  24	  28	72.82	0.0472563
  22	  31	  25	  28	27.52	0.0334242
  19	  34	  25	  28	37.35	0.0375695
  16	  37	  25	  28	47.18	0.0419859
  13	  40	  25	  28	56.35	0.0467268
  24	  30	  26	  28	23.09	0.0327213
  22	  32	  26	  28	28.72	0.0365633
  20	  34	  26	  28	35.83	0.0405217
  18	  36	  26	  28	41.75	0.0450503
  26	  29	  27	  28	20.76	0.0315131
  25	  30	  27	  28	22.85	0.0341249
  24	  31	  27	  28	26.90	0.037007
  23	  32	  27	  28	28.36	0.0410782
   4	  40	  16	  28	72.34	0.0352116
   6	  39	  17	  28	67.29	0.0351352
   8	  38	  18	  28	62.05	0.0350634
  10	  37	  19	  28	55.88	0.0350602
  12	  36	  20	  28	49.59	0.0350685
  13	  37	  21	  29	50.19	0.0350073
  15	  36	  22	  29	45.65	0.0348176
   8	  43	  22	  29	70.69	0.0393323
  17	  35	  23	  29	41.03	0.0345945
  11	  41	  23	  29	61.49	0.0391964
  19	  34	  24	  29	36.52	0.034301
  14	  39	  24	  29	53.38	0.0388272
   9	  44	  24	  29	72.10	0.0430726
  21	  33	  25	  29	30.86	0.0340726
  17	  37	  25	  29	44.56	0.0384594
  13	  41	  25	  29	57.13	0.0431983
   9	  45	  25	  29	71.69	0.04753
  23	  32	  26	  29	26.34	0.0335779
  20	  35	  26	  29	36.98	0.0376452
  17	  38	  26	  29	46.33	0.0422064
  14	  41	  26	  29	55.02	0.04713
  25	  31	  27	  29	23.75	0.0326458
  23	  33	  27	  29	28.54	0.0366047
  21	  35	  27	  29	35.47	0.0406285
  19	  37	  27	  29	42.03	0.0449485
  27	  30	  28	  29	20.01	0.0315698
  26	  31	  28	  29	22.53	0.0341839
  25	  32	  28	  29	24.18	0.0377949
  24	  33	  28	  29	26.61	0.041808
   5	  41	  17	  29	71.58	0.0352664
   7	  40	  18	  29	65.70	0.0352601
   9	  39	  19	  29	60.25	0.0352147
  11	  38	  20	  29	54.93	0.0351472
  12	  39	  21	  30	54.46	0.0351915
  14	  38	  22	  30	50.68	0.0349586
  16	  37	  23	  30	46.41	0.0347384
   9	  44	  23	  30	70.89	0.0393061
  18	  36	  24	  30	41.05	0.0345913
  12	  42	  24	  30	60.03	0.0394207
  20	  35	  25	  30	36.46	0.034308
  15	  40	  25	  30	51.83	0.0390914
  10	  45	  25	  30	69.56	0.0435489
  22	  34	  26	  30	31.46	0.0339949
  18	  38	  26	  30	44.63	0.0384468
  14	  42	  26	  30	56.50	0.0433444
  10	  46	  26	  30	69.82	0.0479977
  24	  33	  27	  30	27.23	0.0334618
  21	  36	  27	  30	37.67	0.0375067
  18	  39	  27	  30	46.54	0.0421505
  15	  42	  27	  30	55.16	0.0470859
  26	  32	  28	  30	22.78	0.032758
  24	  34	  28	  30	29.62	0.0363628
  22	  36	  28	  30	35.77	0.0405384
  20	  38	  28	  30	42.21	0.044887
  28	  31	  29	  30	21.67	0.0314497
  27	  32	  29	  30	22.17	0.0342505
  26	  33	  29	  30	25.15	0.0374954
  25	  34	  29	  30	29.20	0.0407578
   6	  42	  18	  30	70.71	0.0353313
   8	  41	  19	  30	64.21	0.0353818
  10	  40	  20	  30	58.51	0.0353695
   2	   5	   3	   4	23.54	0.0313346
   1	   6	   3	   4	25.14	0.0337484
  11	  41	  21	  31	58.32	0.0353869
  13	  40	  22	  31	53.79	0.0352567
  15	  39	  23	  31	49.71	0.0350563
  17	  38	  24	  31	45.40	0.0348434
  10	  45	  24	  31	70.08	0.039414
  19	  37	  25	  31	40.55	0.0346482
  13	  43	  25	  31	59.36	0.0395267
  21	  36	  26	  31	35.94	0.0343709
  16	  41	  26	  31	51.12	0.0392177
  11	  46	  26	  31	68.83	0.0436934
  23	  35	  27	  31	31.45	0.0339953
  19	  39	  27	  31	44.24	0.038521
  15	  43	  27	  31	55.90	0.0434892
  11	  47	  27	  31	69.57	0.0480631
  25	  34	  28	  31	27.23	0.0334618
  22	  37	  28	  31	36.61	0.0377238
  19	  40	  28	  31	44.68	0.0426568
  16	  43	  28	  31	53.74	0.0475377
  27	  33	  29	  31	22.77	0.032759
  25	  35	  29	  31	29.55	0.0363781
  23	  37	  29	  31	35.39	0.0406512
  21	  39	  29	  31	41.24	0.0452347
  29	  32	  30	  31	18.80	0.0316706
  28	  33	  30	  31	21.70	0.0343428
  27	  34	  30	  31	24.91	0.0375681
  26	  35	  30	  31	27.58	0.0413922
   7	  43	  19	  31	69.29	0.0354407
   9	  42	  20	  31	63.27	0.0354623
  10	  43	  21	  32	63.73	0.0354229
  12	  42	  22	  32	58.15	0.0354023
  14	  41	  23	  32	53.85	0.0352504
  16	  40	  24	  32	49.46	0.0350815
  18	  39	  25	  32	44.80	0.0349085
  11	  46	  25	  32	68.95	0.0395679
  20	  38	  26	  32	41.18	0.0345776
  14	  44	  26	  32	60.24	0.0393874
  22	  37	  27	  32	36.60	0.0342917
  17	  42	  27	  32	51.04	0.0392327
  12	  47	  27	  32	67.83	0.0438942
  24	  36	  28	  32	32.23	0.0338986
  20	  40	  28	  32	43.95	0.0385779
  16	  44	  28	  32	57.51	0.0431114
  12	  48	  28	  32	69.10	0.0481869
  26	  35	  29	  32	28.35	0.033325
  23	  38	  29	  32	38.00	0.0374407
  20	  41	  29	  32	45.89	0.0423236
  17	  44	  29	  32	55.71	0.0469188
  28	  34	  30	  32	24.50	0.0325648
  26	  36	  30	  32	30.60	0.0361609
  24	  38	  30	  32	36.79	0.040248
  22	  40	  30	  32	41.43	0.045165
  30	  33	  31	  32	21.42	0.0314667
  29	  34	  31	  32	24.96	0.0337765
  28	  35	  31	  32	27.26	0.0369145
  27	  36	  31	  32	30.60	0.0402665
   8	  44	  20	  32	68.66	0.035491
   9	  45	  21	  33	67.86	0.0355554
  11	  44	  22	  33	63.73	0.0354229
  13	  43	  23	  33	57.34	0.0354789
  15	  42	  24	  33	51.39	0.035502
  17	  41	  25	  33	46.69	0.0353831
  19	  40	  26	  33	42.84	0.0351333
  12	  47	  26	  33	66.18	0.0399682
  21	  39	  27	  33	38.99	0.0348343
  15	  45	  27	  33	58.42	0.0396796
  23	  38	  28	  33	35.02	0.0344859
  18	  43	  28	  33	47.32	0.0399587
  13	  48	  28	  33	66.60	0.0441511
  25	  37	  29	  33	31.29	0.0340156
  21	  41	  29	  33	41.26	0.0391364
  17	  45	  29	  33	55.23	0.0436511
  13	  49	  29	  33	68.34	0.0483886
  27	  36	  30	  33	27.07	0.0334821
  24	  39	  30	  33	35.21	0.0380312
  21	  42	  30	  33	40.88	0.0438315
  18	  45	  30	  33	50.16	0.0487899
  29	  35	  31	  33	23.60	0.0326627
  27	  37	  31	  33	28.96	0.0365089
  25	  39	  31	  33	34.07	0.0410652
  23	  41	  31	  33	35.96	0.0474713
  31	  34	  32	  33	17.73	0.031772
  30	  35	  32	  33	20.16	0.0346754
  29	  36	  32	  33	23.47	0.0380312
  28	  37	  32	  33	24.61	0.0427675
  10	  46	  22	  34	67.01	0.035626
  12	  45	  23	  34	61.42	0.0356264
  14	  44	  24	  34	57.77	0.0354384
  16	  43	  25	  34	52.15	0.0354214
  18	  42	  26	  34	46.88	0.0353615
  20	  41	  27	  34	43.43	0.035064
  13	  48	  27	  34	66.63	0.0399012
  22	  40	  28	  34	38.81	0.0348564
  16	  46	  28	  34	58.16	0.0397222
  24	  39	  29	  34	35.44	0.0344318
  19	  44	  29	  34	50.96	0.0392477
  14	  49	  29	  34	65.96	0.0442883
  26	  38	  30	  34	31.56	0.0339817
  22	  42	  30	  34	41.50	0.0390831
  18	  46	  30	  34	54.47	0.0438411
  14	  50	  30	  34	67.52	0.0486123
  28	  37	  31	  34	27.25	0.0334588
  25	  40	  31	  34	35.46	0.0379746
  22	  43	  31	  34	43.54	0.0429873
  19	  46	  31	  34	53.36	0.0476622
  30	  36	  32	  34	22.03	0.0328519
  28	  38	  32	  34	28.02	0.0367275
  26	  40	  32	  34	32.59	0.0415677
  24	  42	  32	  34	37.41	0.0467974
  32	  35	  33	  34	18.20	0.0317259
  31	  36	  33	  34	20.54	0.0345892
  30	  37	  33	  34	23.66	0.0379669
  29	  38	  33	  34	26.50	0.0418556
  11	  47	  23	  35	66.82	0.035642
  13	  46	  24	  35	62.46	0.035533
  15	  45	  25	  35	57.62	0.0354526
  17	  44	  26	  35	52.47	0.0353891
  19	  43	  27	  35	47.47	0.0352944
  21	  42	  28	  35	42.50	0.035174
  14	  49	  28	  35	66.50	0.039921
  23	  41	  29	  35	38.68	0.0348736
  17	  47	  29	  35	58.19	0.0397175
  25	  40	  30	  35	35.12	0.0344731
  20	  45	  30	  35	50.70	0.0392953
  15	  50	  30	  35	65.46	0.0443969
  27	  39	  31	  35	31.69	0.0339654
  23	  43	  31	  35	42.29	0.0389142
  19	  47	  31	  35	55.29	0.0436371
  15	  51	  31	  35	69.54	0.0480713
  29	  38	  32	  35	27.18	0.0334672
  26	  41	  32	  35	34.90	0.0381012
  23	  44	  32	  35	44.34	0.0427542
  20	  47	  32	  35	52.65	0.0479006
  31	  37	  33	  35	22.97	0.0327359
  29	  39	  33	  35	30.47	0.0361855
  27	  41	  33	  35	32.93	0.0414467
  25	  43	  33	  35	39.12	0.0460624
  33	  36	  34	  35	19.94	0.0315756
  32	  37	  34	  35	23.72	0.0339725
  31	  38	  34	  35	26.10	0.037222
  30	  39	  34	  35	29.51	0.0406455
  12	  48	  24	  36	66.82	0.035642
  14	  47	  25	  36	60.73	0.0356907
  16	  46	  26	  36	56.15	0.0355948
  18	  45	  27	  36	53.55	0.0352797
  20	  44	  28	  36	49.00	0.0351286
  22	  43	  29	  36	43.77	0.0350237
  15	  50	  29	  36	67.86	0.0397222
  24	  42	  30	  36	39.21	0.0348077
  18	  48	  30	  36	57.35	0.0398601
  26	  41	  31	  36	35.76	0.0343927
  21	  46	  31	  36	51.87	0.0390852
  16	  51	  31	  36	69.49	0.0435627
  28	  40	  32	  36	31.28	0.0340171
  24	  44	  32	  36	44.39	0.0384919
  20	  48	  32	  36	56.50	0.0433444
  16	  52	  32	  36	69.63	0.0480467
  30	  39	  33	  36	28.58	0.0332976
  27	  42	  33	  36	36.06	0.0378415
  24	  45	  33	  36	46.56	0.0421447
  21	  48	  33	  36	53.94	0.0474713
  32	  38	  34	  36	25.88	0.032428
  30	  40	  34	  36	31.22	0.0360375
  28	  42	  34	  36	36.74	0.0402612
  26	  44	  34	  36	45.14	0.0439185
  34	  37	  35	  36	19.83	0.0315839
  33	  38	  35	  36	24.70	0.0338163
  32	  39	  35	  36	28.08	0.0367139
  31	  40	  35	  36	29.39	0.0406884
  13	  49	  25	  37	67.00	0.0356264
  15	  48	  26	  37	61.42	0.0356264
  17	  47	  27	  37	57.41	0.0354718
  19	  46	  28	  37	54.34	0.0352031
  21	  45	  29	  37	49.83	0.0350435
  23	  44	  30	  37	45.51	0.0348322
  16	  51	  30	  37	66.25	0.0399587
  25	  43	  31	  37	40.91	0.0346078
  19	  49	  31	  37	60.76	0.0393072
  27	  42	  32	  37	35.87	0.0343796
  22	  47	  32	  37	53.02	0.0388883
  17	  52	  32	  37	70.04	0.0434572
  29	  41	  33	  37	32.68	0.033845
  25	  45	  33	  37	45.81	0.0382303
  21	  49	  33	  37	58.30	0.0429333
  17	  53	  33	  37	66.88	0.0487899
  31	  40	  34	  37	29.45	0.0332003
  28	  43	  34	  37	39.88	0.0370894
  25	  46	  34	  37	51.03	0.0410813
  22	  49	  34	  37	61.77	0.0452581
  33	  39	  35	  37	26.17	0.0324006
  31	  41	  35	  37	32.45	0.0358092
  29	  43	  35	  37	39.80	0.0394723
  27	  45	  35	  37	48.05	0.0430769
  35	  38	  36	  37	20.94	0.0315003
  34	  39	  36	  37	24.77	0.0338047
  33	  40	  36	  37	29.16	0.0364641
  32	  41	  36	  37	32.46	0.0396773
  14	  50	  26	  38	68.14	0.0355326
  16	  49	  27	  38	63.50	0.0354419
  18	  48	  28	  38	58.99	0.0353255
  20	  47	  29	  38	54.51	0.0351868
  22	  46	  30	  38	50.68	0.0349586
  24	  45	  31	  38	47.78	0.034603
  17	  52	  31	  38	68.23	0.0396686
  26	  44	  32	  38	43.12	0.0343709
  20	  50	  32	  38	62.46	0.0390533
  28	  43	  33	  38	38.17	0.0341152
  23	  48	  33	  38	55.36	0.0385117
  18	  53	  33	  38	69.09	0.043642
  30	  42	  34	  38	34.92	0.0335989
  26	  46	  34	  38	50.14	0.0375195
  22	  50	  34	  38	63.60	0.0418556
  18	  54	  34	  38	78.63	0.0459811
  32	  41	  35	  38	31.95	0.0329503
  29	  44	  35	  38	43.71	0.0364683
  26	  47	  35	  38	54.01	0.0404691
  23	  50	  35	  38	64.35	0.0446451
  34	  40	  36	  38	26.89	0.0323364
  32	  42	  36	  38	34.88	0.0354037
  30	  44	  36	  38	43.08	0.0387515
  28	  46	  36	  38	49.88	0.0425967
  36	  39	  37	  38	23.48	0.0313383
  35	  40	  37	  38	26.33	0.0335795
  34	  41	  37	  38	30.06	0.0362716
  33	  42	  37	  38	34.21	0.0391837
  15	  51	  27	  39	72.21	0.0352208
  17	  50	  28	  39	66.28	0.035214
  19	  49	  29	  39	62.46	0.0350296
  21	  48	  30	  39	57.92	0.0348817
  23	  47	  31	  39	54.08	0.0346476
  25	  46	  32	  39	50.54	0.0343509
  18	  53	  32	  39	74.20	0.0388917
  27	  45	  33	  39	47.51	0.0339676
  21	  51	  33	  39	68.14	0.0382989
  29	  44	  34	  39	44.39	0.0335384
  24	  49	  34	  39	63.28	0.0374463
  19	  54	  34	  39	77.60	0.0421447
  31	  43	  35	  39	38.83	0.0332363
  27	  47	  35	  39	55.48	0.0367953
  23	  51	  35	  39	70.41	0.0407082
  19	  55	  35	  39	89.09	0.044106
  33	  42	  36	  39	34.93	0.0326982
  30	  45	  36	  39	49.01	0.0357696
  27	  48	  36	  39	60.71	0.0393148
  24	  51	  36	  39	72.87	0.0429333
  35	  41	  37	  39	30.32	0.0320724
  33	  43	  37	  39	39.92	0.0347221
  31	  45	  37	  39	47.97	0.0378596
  29	  47	  37	  39	56.86	0.0410505
  37	  40	  38	  39	25.67	0.0312236
  36	  41	  38	  39	31.29	0.0330121
  35	  42	  38	  39	35.81	0.0352643
  34	  43	  38	  39	41.02	0.0376584
  16	  52	  28	  40	73.82	0.035107
  18	  51	  29	  40	70.10	0.03493
  20	  50	  30	  40	65.93	0.0347649
  22	  49	  31	  40	62.18	0.0345473
  24	  48	  32	  40	57.78	0.0343499
  26	  47	  33	  40	53.22	0.0341322
  19	  54	  33	  40	82.15	0.0380312
  28	  46	  34	  40	50.94	0.0337003
  22	  52	  34	  40	73.82	0.0376605
  30	  45	  35	  40	47.70	0.0332928
  25	  50	  35	  40	69.09	0.036821
  20	  55	  35	  40	91.64	0.0402851
  32	  44	  36	  40	43.42	0.0328938
  28	  48	  36	  40	60.60	0.0362206
  24	  52	  36	  40	76.47	0.0398601
  20	  56	  36	  40	98.12	0.0428075
  34	  43	  37	  40	36.73	0.032566
  31	  46	  37	  40	51.16	0.0355268
  28	  49	  37	  40	66.90	0.0384522
  25	  52	  37	  40	82.16	0.041471
  36	  42	  38	  40	31.37	0.0320027
  34	  44	  38	  40	44.11	0.0342733
  32	  46	  38	  40	53.86	0.0369997
  30	  48	  38	  40	63.55	0.0398865
  38	  41	  39	  40	25.40	0.0312368
  37	  42	  39	  40	29.20	0.0332273
  36	  43	  39	  40	35.21	0.0353528
  35	  44	  39	  40	42.01	0.0374785
   1	   7	   3	   5	26.56	0.0323655
   3	   6	   4	   5	24.66	0.0312742
   2	   7	   4	   5	26.32	0.0335811
   1	   8	   4	   5	30.46	0.0361877
  17	  53	  29	  41	77.20	0.0348832
  19	  52	  30	  41	71.48	0.0348343
  21	  51	  31	  41	67.82	0.0346319
  23	  50	  32	  41	64.17	0.0344065
  25	  49	  33	  41	59.56	0.0342198
  27	  48	  34	  41	56.53	0.0338901
  20	  55	  34	  41	87.06	0.0375782
  29	  47	  35	  41	52.11	0.0336175
  23	  53	  35	  41	80.33	0.0370393
  31	  46	  36	  41	47.97	0.0332743
  26	  51	  36	  41	70.98	0.0366391
  21	  56	  36	  41	95.83	0.0398352
  33	  45	  37	  41	43.97	0.0328579
  29	  49	  37	  41	63.31	0.0359544
  25	  53	  37	  41	82.88	0.0390976
  21	  57	  37	  41	101.94	0.0423275
  35	  44	  38	  41	38.10	0.0324736
  32	  47	  38	  41	52.79	0.0353564
  29	  50	  38	  41	71.52	0.0379064
  26	  53	  38	  41	83.80	0.0412473
  37	  43	  39	  41	29.22	0.0321504
  35	  45	  39	  41	41.38	0.0345556
  33	  47	  39	  41	50.41	0.0374785
  31	  49	  39	  41	59.04	0.0406427
  39	  42	  40	  41	23.15	0.0313573
  38	  43	  40	  41	26.68	0.0335324
  37	  44	  40	  41	32.13	0.0358666
  36	  45	  40	  41	37.14	0.0384594
  18	  54	  30	  42	78.36	0.034811
  20	  53	  31	  42	74.95	0.0346105
  22	  52	  32	  42	69.72	0.0345062
  24	  51	  33	  42	66.72	0.0342377
  26	  50	  34	  42	63.60	0.0339519
  28	  49	  35	  42	58.74	0.0337439
  21	  56	  35	  42	88.77	0.0374318
  30	  48	  36	  42	53.96	0.0334934
  24	  54	  36	  42	80.63	0.0370131
  32	  47	  37	  42	48.45	0.0332421
